Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1981","1981","hg/ha","103305"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1982","1982","hg/ha","131756"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1983","1983","hg/ha","91176"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1984","1984","hg/ha","134624"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1985","1985","hg/ha","143886"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1986","1986","hg/ha","169632"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1987","1987","hg/ha","158869"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1988","1988","hg/ha","194177"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1989","1989","hg/ha","228933"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1990","1990","hg/ha","243325"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1991","1991","hg/ha","205581"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1992","1992","hg/ha","248063"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1993","1993","hg/ha","272402"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1994","1994","hg/ha","258164"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1995","1995","hg/ha","257030"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1996","1996","hg/ha","276703"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1997","1997","hg/ha","300396"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1998","1998","hg/ha","300721"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1999","1999","hg/ha","328389"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2000","2000","hg/ha","383873"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2001","2001","hg/ha","231440"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2002","2002","hg/ha","272023"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2003","2003","hg/ha","266974"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2004","2004","hg/ha","297094"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2005","2005","hg/ha","239635"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2006","2006","hg/ha","239017"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2007","2007","hg/ha","294824"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2008","2008","hg/ha","295271"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2009","2009","hg/ha","320085"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2010","2010","hg/ha","330327"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2011","2011","hg/ha","351655"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2012","2012","hg/ha","346301"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2013","2013","hg/ha","321668"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2014","2014","hg/ha","372187"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2015","2015","hg/ha","352841"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2016","2016","hg/ha","308465"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2017","2017","hg/ha","392355"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2018","2018","hg/ha","362035"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2019","2019","hg/ha","377395"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","2020","2020","hg/ha","302836"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1961","1961","tonnes","19962"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1962","1962","tonnes","22600"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1963","1963","tonnes","23241"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1964","1964","tonnes","21158"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1965","1965","tonnes","40386"
"QCL","Crops and livestock products","21","Brazil","5510","Production","515","Apples","1966","1966","tonnes","23559"
